neighbourhood_group,neighbourhood,price,room_type
Brooklyn,South Slope,169,Entire home/apt
Brooklyn,Greenpoint,179,Private room
Manhattan,Hell's Kitchen,150,Private room
Brooklyn,Boerum Hill,135,Entire home/apt
Brooklyn,Clinton Hill,350,Entire home/apt
Brooklyn,Williamsburg,120,Private room
Manhattan,East Village,71,Private room
Brooklyn,Greenpoint,349,Private room
Brooklyn,Greenpoint,349,Private room
Brooklyn,Park Slope,165,Entire home/apt
Brooklyn,Greenpoint,249,Private room
Brooklyn,Brooklyn Heights,100,Private room
Brooklyn,Brooklyn Heights,200,Entire home/apt
Manhattan,East Village,169,Entire home/apt
Brooklyn,Bedford-Stuyvesant,185,Entire home/apt
Brooklyn,Bushwick,65,Entire home/apt
Brooklyn,Fort Greene,130,Entire home/apt
Brooklyn,Williamsburg,199,Entire home/apt
Manhattan,East Village,225,Entire home/apt
Brooklyn,Greenpoint,179,Private room
Brooklyn,Crown Heights,150,Entire home/apt
Manhattan,East Village,139,Entire home/apt
Manhattan,Two Bridges,95,Private room
Brooklyn,Crown Heights,79,Entire home/apt
Manhattan,Lower East Side,150,Entire home/apt
Brooklyn,Clinton Hill,650,Entire home/apt
Brooklyn,Bedford-Stuyvesant,90,Entire home/apt
Brooklyn,Bedford-Stuyvesant,120,Entire home/apt
Queens,Astoria,80,Private room
Brooklyn,Crown Heights,100,Entire home/apt
Brooklyn,Bedford-Stuyvesant,175,Entire home/apt
Brooklyn,Crown Heights,120,Entire home/apt
Brooklyn,Williamsburg,140,Entire home/apt
Brooklyn,Bedford-Stuyvesant,200,Entire home/apt
Brooklyn,Clinton Hill,165,Private room
Manhattan,Kips Bay,125,Entire home/apt
Manhattan,Chelsea,130,Entire home/apt
Manhattan,East Harlem,65,Shared room
Brooklyn,Fort Greene,123,Entire home/apt
Manhattan,Washington Heights,67,Private room
Queens,Queens Village,50,Private room
Brooklyn,Gowanus,130,Entire home/apt
Brooklyn,Williamsburg,100,Private room
Manhattan,Upper West Side,212,Entire home/apt
Brooklyn,Williamsburg,190,Entire home/apt
Brooklyn,Greenpoint,599,Private room
Manhattan,East Village,249,Entire home/apt
Queens,Rockaway Beach,70,Private room
Brooklyn,Crown Heights,100,Entire home/apt
Manhattan,Harlem,60,Private room
Brooklyn,Bedford-Stuyvesant,135,Entire home/apt
Brooklyn,Greenpoint,175,Entire home/apt
Manhattan,Upper West Side,120,Entire home/apt
Manhattan,Midtown,169,Entire home/apt
Brooklyn,Crown Heights,165,Entire home/apt
Manhattan,Harlem,90,Private room
Manhattan,Upper East Side,225,Entire home/apt
Brooklyn,Fort Greene,95,Private room
Brooklyn,Crown Heights,55,Private room
Manhattan,Hell's Kitchen,85,Private room
Brooklyn,South Slope,199,Entire home/apt
Manhattan,Lower East Side,211,Entire home/apt
Manhattan,Midtown,145,Entire home/apt
Manhattan,Harlem,65,Private room
Manhattan,Harlem,99,Entire home/apt
Queens,Astoria,110,Entire home/apt
Brooklyn,Crown Heights,80,Entire home/apt
Brooklyn,Brooklyn Heights,150,Entire home/apt
Brooklyn,Bedford-Stuyvesant,110,Entire home/apt
Manhattan,Chelsea,290,Private room
Manhattan,East Village,87,Private room
Brooklyn,Williamsburg,190,Entire home/apt
Brooklyn,Williamsburg,200,Entire home/apt
Brooklyn,Park Slope,165,Entire home/apt
Manhattan,Harlem,110,Entire home/apt
Manhattan,East Village,395,Entire home/apt
Brooklyn,Bedford-Stuyvesant,99,Private room
Brooklyn,Kensington,39,Private room
Manhattan,East Village,189,Entire home/apt
Manhattan,Upper West Side,85,Private room
Brooklyn,Gowanus,260,Entire home/apt
Manhattan,Harlem,122,Entire home/apt
Brooklyn,Greenpoint,165,Entire home/apt
Queens,Forest Hills,97,Entire home/apt
Manhattan,West Village,170,Entire home/apt
Brooklyn,Williamsburg,125,Entire home/apt
Manhattan,Murray Hill,130,Private room
Brooklyn,Williamsburg,225,Entire home/apt
Brooklyn,East Flatbush,50,Private room
Brooklyn,Fort Greene,170,Entire home/apt
Manhattan,Chelsea,132,Entire home/apt
Brooklyn,Park Slope,250,Entire home/apt
Brooklyn,Greenpoint,141,Entire home/apt
Brooklyn,Crown Heights,64,Entire home/apt
Brooklyn,Williamsburg,249,Entire home/apt
Brooklyn,Crown Heights,79,Private room
Manhattan,East Village,185,Entire home/apt
Brooklyn,Boerum Hill,120,Entire home/apt
Brooklyn,Park Slope,495,Entire home/apt
Manhattan,Nolita,375,Entire home/apt
Manhattan,Nolita,175,Entire home/apt
Manhattan,East Village,150,Entire home/apt
Manhattan,Harlem,259,Entire home/apt
Manhattan,East Village,96,Private room
Brooklyn,Williamsburg,145,Entire home/apt
Manhattan,Chelsea,200,Entire home/apt
Manhattan,Upper West Side,95,Entire home/apt
Brooklyn,Windsor Terrace,250,Entire home/apt
Manhattan,Harlem,295,Entire home/apt
Manhattan,Greenwich Village,175,Entire home/apt
Brooklyn,Williamsburg,451,Entire home/apt
Manhattan,Upper West Side,165,Entire home/apt
Manhattan,Upper East Side,250,Entire home/apt
Bronx,Woodlawn,77,Entire home/apt
Manhattan,Lower East Side,250,Entire home/apt
Queens,Astoria,129,Entire home/apt
Brooklyn,Williamsburg,98,Private room
Brooklyn,Park Slope,150,Entire home/apt
Manhattan,East Village,95,Private room
Manhattan,Harlem,55,Private room
Manhattan,Harlem,300,Entire home/apt
Queens,Sunnyside,42,Private room
Brooklyn,Greenpoint,125,Entire home/apt
Manhattan,East Village,175,Private room
Manhattan,Harlem,75,Private room
Brooklyn,Williamsburg,255,Entire home/apt
Brooklyn,Bedford-Stuyvesant,72,Entire home/apt
Brooklyn,Bedford-Stuyvesant,165,Private room
Brooklyn,Williamsburg,165,Entire home/apt
Brooklyn,Clinton Hill,75,Private room
Brooklyn,Greenpoint,130,Entire home/apt
Brooklyn,Williamsburg,139,Entire home/apt
Brooklyn,Bedford-Stuyvesant,88,Private room
Brooklyn,Bedford-Stuyvesant,80,Private room
Manhattan,Chelsea,150,Private room
Manhattan,Upper West Side,200,Entire home/apt
Manhattan,East Village,200,Entire home/apt
Queens,Sunnyside,42,Private room
Brooklyn,Williamsburg,90,Private room
Manhattan,Harlem,295,Entire home/apt
Brooklyn,Williamsburg,450,Entire home/apt
Brooklyn,Crown Heights,130,Entire home/apt
Brooklyn,Williamsburg,89,Private room
Manhattan,Harlem,198,Entire home/apt
Manhattan,East Village,99,Entire home/apt
Brooklyn,Greenpoint,46,Private room
Manhattan,SoHo,140,Private room
Brooklyn,Carroll Gardens,500,Entire home/apt
Manhattan,Morningside Heights,75,Private room
Queens,Sunnyside,33,Private room
Manhattan,Upper West Side,250,Entire home/apt
Brooklyn,Bushwick,60,Private room
Manhattan,Washington Heights,75,Private room
Brooklyn,Carroll Gardens,350,Entire home/apt
Manhattan,Chelsea,205,Entire home/apt
Brooklyn,Park Slope,219,Entire home/apt
Brooklyn,Park Slope,60,Private room
Manhattan,Upper West Side,185,Entire home/apt
Manhattan,East Village,190,Entire home/apt
Brooklyn,South Slope,105,Entire home/apt
Manhattan,East Harlem,250,Entire home/apt
Manhattan,Upper West Side,175,Entire home/apt
Manhattan,Harlem,65,Private room
Brooklyn,Bedford-Stuyvesant,75,Entire home/apt
Bronx,University Heights,37,Private room
Brooklyn,Williamsburg,85,Entire home/apt
Brooklyn,Gravesend,106,Entire home/apt
Manhattan,East Harlem,79,Entire home/apt
Brooklyn,Fort Greene,85,Private room
Manhattan,Harlem,170,Private room
Manhattan,Lower East Side,115,Private room
Manhattan,Harlem,89,Private room
Manhattan,Harlem,49,Shared room
Brooklyn,Greenpoint,91,Private room
Manhattan,Gramercy,400,Entire home/apt
Brooklyn,Bushwick,150,Entire home/apt
Brooklyn,Crown Heights,97,Entire home/apt
Manhattan,East Village,100,Private room
Brooklyn,Williamsburg,179,Entire home/apt
Brooklyn,Greenpoint,500,Entire home/apt
Manhattan,Chelsea,429,Entire home/apt
Manhattan,Kips Bay,189,Entire home/apt
Manhattan,Lower East Side,120,Private room
Manhattan,Nolita,300,Entire home/apt
Queens,Astoria,107,Entire home/apt
Queens,Astoria,95,Entire home/apt
Manhattan,Harlem,199,Entire home/apt
Manhattan,East Harlem,120,Entire home/apt
Manhattan,West Village,199,Entire home/apt
Bronx,Allerton,125,Entire home/apt
Brooklyn,Williamsburg,70,Private room
Brooklyn,Williamsburg,75,Private room
Manhattan,West Village,100,Private room
Brooklyn,Bedford-Stuyvesant,99,Entire home/apt
Manhattan,Chelsea,250,Entire home/apt
Brooklyn,Williamsburg,350,Entire home/apt
Brooklyn,Prospect Heights,170,Entire home/apt
Manhattan,East Village,165,Entire home/apt
Manhattan,Hell's Kitchen,99,Private room
Manhattan,Chelsea,255,Private room
Brooklyn,East New York,169,Entire home/apt
Brooklyn,Crown Heights,99,Entire home/apt
Manhattan,Upper East Side,169,Entire home/apt
Brooklyn,Bedford-Stuyvesant,160,Entire home/apt
Brooklyn,Prospect Heights,215,Entire home/apt
Brooklyn,Park Slope,130,Entire home/apt
Manhattan,East Village,110,Private room
Manhattan,Hell's Kitchen,150,Private room
Brooklyn,Williamsburg,65,Private room
Queens,Sunnyside,75,Private room
Manhattan,Chelsea,149,Entire home/apt
Manhattan,Upper West Side,89,Private room
Manhattan,Washington Heights,50,Private room
Brooklyn,Prospect-Lefferts Gardens,43,Private room
Brooklyn,Prospect-Lefferts Gardens,42,Private room
Brooklyn,Williamsburg,85,Private room
Brooklyn,Bedford-Stuyvesant,139,Entire home/apt
Brooklyn,Park Slope,105,Private room
Brooklyn,Park Slope,265,Entire home/apt
Manhattan,Hell's Kitchen,149,Entire home/apt
Manhattan,Harlem,68,Private room
Brooklyn,Bedford-Stuyvesant,99,Entire home/apt
Manhattan,Harlem,75,Private room
Brooklyn,Williamsburg,100,Private room
Manhattan,Upper East Side,90,Shared room
Manhattan,East Village,160,Entire home/apt
Brooklyn,Park Slope,190,Entire home/apt
Brooklyn,Bedford-Stuyvesant,67,Private room
Manhattan,Upper East Side,190,Entire home/apt
Brooklyn,Clinton Hill,248,Entire home/apt
Brooklyn,Williamsburg,100,Private room
Manhattan,Chinatown,95,Private room
Manhattan,Theater District,150,Private room
Brooklyn,Bedford-Stuyvesant,145,Entire home/apt
Brooklyn,Bushwick,41,Private room
Brooklyn,Williamsburg,120,Entire home/apt
Bronx,Concourse Village,50,Private room
Brooklyn,Fort Greene,157,Entire home/apt
Brooklyn,Williamsburg,195,Entire home/apt
Brooklyn,Sheepshead Bay,70,Entire home/apt
Brooklyn,Williamsburg,185,Entire home/apt
Brooklyn,Bedford-Stuyvesant,145,Entire home/apt
Queens,Sunnyside,50,Private room
Brooklyn,Greenpoint,185,Entire home/apt
Manhattan,East Village,250,Entire home/apt
Manhattan,West Village,80,Private room
Manhattan,Theater District,230,Entire home/apt
Brooklyn,Gowanus,100,Entire home/apt
Brooklyn,Bushwick,40,Private room
Manhattan,Lower East Side,200,Private room
Staten Island,Emerson Hill,80,Private room
Brooklyn,Bedford-Stuyvesant,79,Private room
Queens,Long Island City,95,Entire home/apt
Manhattan,Upper West Side,300,Entire home/apt
Brooklyn,Fort Hamilton,100,Entire home/apt
Manhattan,Harlem,80,Private room
Brooklyn,Bensonhurst,110,Entire home/apt
Brooklyn,Clinton Hill,172,Entire home/apt
Manhattan,Lower East Side,199,Entire home/apt
Manhattan,Lower East Side,199,Entire home/apt
Manhattan,Harlem,100,Private room
Manhattan,Harlem,55,Private room
Brooklyn,Bedford-Stuyvesant,75,Private room
Manhattan,East Village,146,Entire home/apt
Manhattan,NoHo,250,Private room
Brooklyn,Greenpoint,116,Entire home/apt
Manhattan,Tribeca,150,Private room
Brooklyn,Park Slope,120,Private room
Manhattan,Chelsea,199,Entire home/apt
Brooklyn,Prospect Heights,150,Entire home/apt
Manhattan,Harlem,69,Private room
Manhattan,Harlem,300,Private room
Brooklyn,Boerum Hill,230,Entire home/apt
Manhattan,Midtown,125,Entire home/apt
Brooklyn,Bedford-Stuyvesant,79,Private room
Brooklyn,Fort Greene,130,Private room
Brooklyn,Clinton Hill,239,Private room
Staten Island,Shore Acres,75,Entire home/apt
Brooklyn,Williamsburg,220,Entire home/apt
Brooklyn,Bedford-Stuyvesant,80,Entire home/apt
Manhattan,East Village,288,Entire home/apt
Brooklyn,Bedford-Stuyvesant,135,Entire home/apt
Manhattan,West Village,225,Entire home/apt
Manhattan,Chinatown,110,Private room
Brooklyn,Bedford-Stuyvesant,100,Entire home/apt
Manhattan,Hell's Kitchen,130,Private room
Manhattan,East Village,89,Private room
Brooklyn,Sunset Park,200,Entire home/apt
Brooklyn,Bedford-Stuyvesant,80,Entire home/apt
Bronx,Concourse,50,Private room
Manhattan,East Harlem,135,Entire home/apt
Manhattan,East Village,90,Private room
Manhattan,SoHo,270,Private room
Brooklyn,Bedford-Stuyvesant,110,Entire home/apt
Manhattan,East Harlem,145,Entire home/apt
Manhattan,Hell's Kitchen,179,Entire home/apt
Queens,Ridgewood,55,Private room
Manhattan,Midtown,110,Private room
Manhattan,Harlem,325,Entire home/apt
Queens,Long Island City,75,Private room
Brooklyn,South Slope,300,Entire home/apt
Manhattan,West Village,130,Private room
Manhattan,Midtown,190,Entire home/apt
Manhattan,Lower East Side,200,Entire home/apt
Brooklyn,Williamsburg,180,Entire home/apt
Brooklyn,DUMBO,350,Entire home/apt
Manhattan,East Village,160,Entire home/apt
Manhattan,Kips Bay,195,Entire home/apt
Manhattan,Greenwich Village,241,Entire home/apt
Manhattan,Chinatown,300,Entire home/apt
Queens,Ditmars Steinway,75,Entire home/apt
Manhattan,Lower East Side,100,Entire home/apt
Manhattan,Gramercy,399,Entire home/apt
Brooklyn,Fort Greene,85,Private room
Brooklyn,Prospect-Lefferts Gardens,80,Entire home/apt
Brooklyn,Prospect Heights,55,Private room
Brooklyn,Clinton Hill,438,Private room
Brooklyn,Bedford-Stuyvesant,110,Entire home/apt
Manhattan,West Village,200,Entire home/apt
Brooklyn,Clinton Hill,279,Private room
Brooklyn,Williamsburg,137,Entire home/apt
Brooklyn,Bedford-Stuyvesant,280,Entire home/apt
Brooklyn,Williamsburg,199,Entire home/apt
Manhattan,Inwood,71,Private room
